domain	agueusie	anosmie	chiasse	courbature	diarrhée	douleur thoracique	douleur thorax	dyspnée	essouflement	fièvre	gene respiratoire	gêne respiratoire	mal thoracique	mal à respirer	maux de gorge	oppression thoracique	perte de gout	perte de goût	perte odorat	rhinorrhée	thermomètre	tousser	toux	écoulement nasale	éruption cutanée	total	missing
blog.hopitalvs.ch	30	30	30	30	30	30	30	30	8	30	30	30	30	12	30	30	30	30	30	30	30	30	30	30	30	28.4	23
bodyhit.fr	30	30	30	4	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	28.96	24
campus.cerimes.fr	30	30	30	30	30	30	17	30	30	30	30	30	30	30	30	30	30	30	30	23	30	30	30	30	30	29.2	23
cnrtl.fr	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	4	30	30	30	28.96	24
commentconjuguer.com	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	8	30	30	30	29.12	24
conjugaison.lemonde.fr	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	17	30	30	30	29.48	24
conjugaison.ouest-france.fr	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	20	30	30	30	29.6	24
conjugueur.reverso.net	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	21	30	30	30	29.64	24
crisco2.unicaen.fr	30	30	17	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.48	24
dictionnaire.reverso.net	30	30	14	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	22	30	30	30	29.04	23
dictionnaire.sensagent.leparisien.fr	30	30	5	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29	24
digestion.ooreka.fr	20	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.6	24
eurekasante.vidal.fr	30	30	30	30	22	30	30	30	30	17	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.16	23
fr.bab.la	30	30	12	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.28	24
fr.pons.com	30	30	11	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	14	30	30	30	28.6	23
fr.tylenol.ca	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	12	30	29.28	24
fr.wikipedia.org	4	3	30	1	16	13	14	1	30	1	18	17	15	30	30	10	12	9	15	3	9	30	30	20	30	15.64	7
fr.wiktionary.org	7	30	3	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	6	30	30	30	27.04	22
hellocare.com	30	30	30	30	30	8	8	30	30	30	30	30	10	30	30	11	30	30	30	30	30	30	30	30	5	25.68	20
icardio.ca	30	30	30	30	30	30	30	30	11	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.24	24
la-conjugaison.nouvelobs.com	30	30	18	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	1	30	30	30	28.36	23
lasante.net	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	4	30	30	30	30	30	28.96	24
leconjugueur.lefigaro.fr	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	2	30	30	30	28.88	24
lpne.ch	30	30	30	30	30	30	30	15	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.4	24
medicalforum.ch	30	30	30	30	30	30	30	8	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.12	24
naitreetgrandir.com	30	30	30	30	30	30	30	30	30	16	30	30	30	30	20	30	30	30	30	30	30	30	30	30	30	29.04	23
optipharm.eu	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	3	30	30	28.92	24
palli-science.com	30	30	30	30	30	30	30	21	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.64	24
protrainer.fr	12	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.28	24
ramsaygds.fr	30	30	30	30	30	30	30	30	30	30	30	20	30	30	30	30	30	30	30	30	30	30	30	30	30	29.6	24
ressourcessante.salutbonjour.ca	30	30	30	30	21	30	30	30	30	15	30	30	30	30	30	30	30	30	30	30	30	30	30	1	30	27.88	22
rhiniteallergique.be	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	21	30	30	30	30	30	29.64	24
