domain	ageusia	anosmia	chest pain	cough	coughing	diarrea	difficulty breathing	dsypnea	fever	loss smell	loss taste	rhinorrhea	running nose	runny nose	shortness of breath	sore throat	throat pain	total	missing
acaai.org	30	30	30	30	30	30	30	30	30	30	30	30	17	22	30	30	30	28.7647058823529	15
dictionary.cambridge.org	30	30	30	30	30	22	30	30	30	30	30	30	30	30	30	30	30	29.5294117647059	16
ecancer.org	17	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.2352941176471	16
emedicine.medscape.com	30	30	30	30	30	30	30	30	30	30	30	21	30	30	30	30	30	29.4705882352941	16
en.wikipedia.org	1	6	30	15	30	11	30	11	21	30	30	1	30	30	30	30	30	21.5294117647059	10
en.wiktionary.org	12	30	30	30	30	15	30	30	30	30	30	30	30	30	30	30	30	28.0588235294118	15
familydoctor.org	30	30	30	21	30	30	30	30	30	30	30	30	30	30	30	13	22	28	14
foundation.chestnet.org	30	30	30	30	30	30	17	30	30	30	30	30	30	30	14	30	30	28.2941176470588	15
fpnotebook.com	30	30	30	30	30	30	30	14	30	30	30	30	30	30	30	30	30	29.0588235294118	16
gi.org	30	30	30	30	30	10	30	30	30	30	30	30	30	30	30	30	30	28.8235294117647	16
github.com	19	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.3529411764706	16
hartfordhealthcare.org	30	30	30	30	30	30	30	30	30	30	30	30	10	9	30	30	30	27.5882352941176	15
health.clevelandclinic.org	30	30	14	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.0588235294118	16
health.mountsinai.org	30	30	30	30	30	30	30	30	30	7	30	30	30	30	30	30	7	27.2941176470588	15
health.ucsd.edu	30	18	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.2941176470588	16
health.usnews.com	30	30	30	30	30	30	30	30	30	30	19	30	30	30	30	30	30	29.3529411764706	16
healthtalk.unchealthcare.org	30	30	16	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.1764705882353	16
