domain	agueusie coronavirus	agueusie covid	anosmie coronavirus	anosmie covid	chiasse coronavirus	chiasse covid	courbature coronavirus	courbature covid	diarrhée covid	douleur thoracique covid	douleur thorax coronavirus	douleur thorax covid	dyspnée coronavirus	dyspnée covid	essouflement covid	fièvre coronavirus	fièvre covid	gene respiratoire coronavirus	gene respiratoire covid	gêne respiratoire coronavirus	mal de gorge coronavirus	mal de gorge covid	mal thoracique coronavirus	mal thoracique covid	mal à respirer coronavirus	mal à respirer covid	maux de gorge coronavirus	maux de gorge covid	nez qui coule coronavirus	nez qui coule covid	oppression thoracique covid	perte de gout coronavirus	perte de gout covid	perte de goût coronavirus	perte de goût covid	perte odorat coronavirus	rhinorrhée coronavirus	rhinorrhée covid	thermomètre coronavirus	thermomètre covid	tousse coronavirus	tousse covid	tousser coronavirus	tousser covid	toux coronavirus	toux covid	écoulement nasale coronavirus	écoulement nasale covid	éruption cutanée coronavirus	éruption cutanée covid	total	missing
actu.epfl.ch	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	17	30	13	30	30	30	30	30	30	29.4	48
avisdexperts.ch	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	20	29.8	49
blog.hopitalvs.ch	30	30	30	30	30	30	30	30	30	30	30	30	30	30	8	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.56	49
cdhf.ca	30	30	30	30	3	2	30	30	3	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	28.36	47
ciusssmcq.ca	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	15	12	30	30	29.34	48
coronacheck.abilis.ch	30	30	30	30	30	30	30	30	16	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.72	49
coronavirus.unisante.ch	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	3	5	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	3	4	4	5	3	3	30	30	30	30	25.8	42
covid19.cipalgerie.com	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	14	14	30	30	29.36	48
covid19.mu	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	10	30	30	29.6	49
factuel.afp.com	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	19	15	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	8	9	30	30	28.62	46
feelgoods-apotheken.ch	30	30	30	30	30	30	17	17	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.48	48
fr.wikipedia.org	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	17	30	17	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.48	48
france3-regions.francetvinfo.fr	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	16	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.72	49
lepetitjournal.com	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	11	10	29.22	48
lpne.ch	30	30	30	30	30	30	30	30	30	30	30	30	9	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.58	49
medicalforum.ch	30	30	30	30	30	30	30	30	30	30	30	30	30	17	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.74	49
nandrin.blogs.sudinfo.be	30	30	30	30	30	30	30	30	30	30	30	30	30	30	18	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.76	49
nicephore.be	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	19	16	30	30	30	30	30	30	30	30	30	30	29.5	48
novascotia.ca	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	17	17	30	30	29.48	48
sante.journaldesfemmes.fr	18	30	19	30	30	12	7	8	5	30	30	30	3	5	30	30	30	16	18	13	23	7	30	30	15	11	19	10	30	11	30	18	18	20	16	30	30	19	30	30	30	30	30	30	30	30	4	6	30	30	21.42	25
sante.lefigaro.fr	30	30	30	30	30	19	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.78	49
sfgg.org	30	30	30	30	17	13	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.4	48
theconversation.com	15	14	7	6	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	15	14	15	30	7	30	30	30	30	30	30	30	30	30	30	30	30	30	30	27.06	42
topvitality.ch	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	2	1	30	30	30	30	30	30	30	30	30	30	28.86	48
unilabs.ch	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	8	30	30	30	30	29.56	49
www.20min.ch	30	30	18	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.76	49
www.20minutes.fr	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	13	30	17	15	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.1	47
www.24heures.ch	8	7	11	16	12	17	30	5	30	13	7	12	30	30	30	30	30	30	30	30	30	30	9	10	11	15	30	30	15	30	30	8	8	8	7	10	4	5	4	15	20	30	30	30	30	30	2	4	15	18	18.52	21
www.admin.ch	30	30	30	30	30	30	30	30	30	30	30	30	17	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.74	49
www.afsos.org	30	30	30	30	30	30	30	30	30	30	30	30	5	4	30	30	30	30	14	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	28.66	47
www.ag.ch	30	30	30	30	30	30	10	15	17	30	30	30	30	30	16	30	30	13	15	15	30	30	30	30	12	19	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	27.24	41
www.amavita.ch	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	15	30	30	30	30	30	30	30	30	30	30	30	29.7	49
www.amboss.com	30	30	30	30	30	30	30	30	30	30	30	30	13	6	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.18	48
www.ameli.fr	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	16	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.72	49
www.arcinfo.ch	30	30	30	30	7	15	12	30	30	30	30	30	30	30	30	16	30	6	5	4	16	30	30	30	7	18	11	30	30	30	30	30	30	30	30	30	30	30	13	30	14	11	7	8	30	30	30	30	30	30	23.8	34
www.atousante.com	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	11	30	30	30	30	30	30	30	30	30	30	29.62	49
www.bag.admin.ch	30	17	17	30	1	1	30	30	1	5	6	5	30	30	30	1	1	1	2	1	1	1	4	6	1	2	1	1	1	1	30	10	10	11	11	15	3	4	30	30	4	3	3	3	1	2	6	8	10	30	10.24	11
www.bbc.com	30	30	10	13	30	30	30	30	30	30	14	30	30	30	20	30	30	30	30	30	30	30	10	30	8	8	30	30	30	30	30	9	9	9	8	5	30	30	30	30	10	9	9	9	8	18	30	30	4	5	21.9	30
www.bbraun.ch	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	18	30	30	30	30	30	30	30	30	30	29.76	49
www.bfmtv.com	30	30	30	30	30	30	9	7	30	2	3	3	30	30	30	30	30	30	30	30	30	30	3	3	30	30	30	30	30	30	30	30	30	30	30	30	30	7	30	30	30	30	30	30	30	30	5	7	30	30	24.98	40
www.bghm.de	30	30	30	30	15	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.7	49
www.bluewin.ch	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	15	30	30	18	30	30	30	30	30	30	30	30	30	30	30	30	5	4	28.44	46
www.canada.ca	30	30	30	30	30	30	30	30	30	18	30	19	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	9	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.12	47
