id	topic-fr	topic-en	topic-id	keyword fr	keyword en	fr-topic-url-12M	en-topic-url-12M	fr-url-12M	en-url-12M	fr-topic-url-5M	en-topic-url-5M	fr-url-5M	en-url-5M
Fièvre	Fièvre	Fever	%2Fm%2F0cjf0	fièvre	fever	https://trends.google.fr/trends/explore?q=%2Fm%2F0cjf0&date=2019-09-15 2020-09-06&hl=fr	https://trends.google.fr/trends/explore?q=%2Fm%2F0cjf0&date=2019-09-15 2020-09-06&hl=en	https://trends.google.fr/trends/explore?q=fièvre&date=2019-09-15 2020-09-06&geo=FR&hl=fr	https://trends.google.fr/trends/explore?q=fever&date=2019-09-15 2020-09-06&geo=US&hl=en	https://trends.google.fr/trends/explore?q=%2Fm%2F0cjf0&date=2020-01-01 2020-05-01&geo=FR&hl=fr	https://trends.google.fr/trends/explore?q=%2Fm%2F0cjf0&date=2020-01-01 2020-05-01&geo=US&hl=en	https://trends.google.fr/trends/explore?q=fièvre&date=2020-01-01 2020-05-01&geo=FR&hl=fr	https://trends.google.fr/trends/explore?q=fever&date=2020-01-01 2020-05-01&geo=US&hl=en
Douleur thoracique	Douleur thoracique	Chest pain	%2Fm%2F02np4v	douleur thoracique%2Bdouleur thorax%2Boppression thoracique%2Bmal thoracique	chest pain	https://trends.google.fr/trends/explore?q=%2Fm%2F02np4v&date=2019-09-15 2020-09-06&hl=fr	https://trends.google.fr/trends/explore?q=%2Fm%2F02np4v&date=2019-09-15 2020-09-06&hl=en	https://trends.google.fr/trends/explore?q=douleur thoracique%2Bdouleur thorax%2Boppression thoracique%2Bmal thoracique&date=2019-09-15 2020-09-06&geo=FR&hl=fr	https://trends.google.fr/trends/explore?q=chest pain&date=2019-09-15 2020-09-06&geo=US&hl=en	https://trends.google.fr/trends/explore?q=%2Fm%2F02np4v&date=2020-01-01 2020-05-01&geo=FR&hl=fr	https://trends.google.fr/trends/explore?q=%2Fm%2F02np4v&date=2020-01-01 2020-05-01&geo=US&hl=en	https://trends.google.fr/trends/explore?q=douleur thoracique%2Bdouleur thorax%2Boppression thoracique%2Bmal thoracique&date=2020-01-01 2020-05-01&geo=FR&hl=fr	https://trends.google.fr/trends/explore?q=chest pain&date=2020-01-01 2020-05-01&geo=US&hl=en
Douleur abdominale	Douleur abdominale	Abdominal pain	%2Fm%2F02tfl8	douleur abdominal%2Bdouleur abdominale%2Bdouleur ventre%2Bdouleur estomac%2Bmal ventre	abdominal pain%2Bstomach pain%2Bstomach ache%2Babdomen pain%2Bbelly pain	https://trends.google.fr/trends/explore?q=%2Fm%2F02tfl8&date=2019-09-15 2020-09-06&hl=fr	https://trends.google.fr/trends/explore?q=%2Fm%2F02tfl8&date=2019-09-15 2020-09-06&hl=en	https://trends.google.fr/trends/explore?q=douleur abdominal%2Bdouleur abdominale%2Bdouleur ventre%2Bdouleur estomac%2Bmal ventre&date=2019-09-15 2020-09-06&geo=FR&hl=fr	https://trends.google.fr/trends/explore?q=abdominal pain%2Bstomach pain%2Bstomach ache%2Babdomen pain%2Bbelly pain&date=2019-09-15 2020-09-06&geo=US&hl=en	https://trends.google.fr/trends/explore?q=%2Fm%2F02tfl8&date=2020-01-01 2020-05-01&geo=FR&hl=fr	https://trends.google.fr/trends/explore?q=%2Fm%2F02tfl8&date=2020-01-01 2020-05-01&geo=US&hl=en	https://trends.google.fr/trends/explore?q=douleur abdominal%2Bdouleur abdominale%2Bdouleur ventre%2Bdouleur estomac%2Bmal ventre&date=2020-01-01 2020-05-01&geo=FR&hl=fr	https://trends.google.fr/trends/explore?q=abdominal pain%2Bstomach pain%2Bstomach ache%2Babdomen pain%2Bbelly pain&date=2020-01-01 2020-05-01&geo=US&hl=en
Toux	Toux	Cough	%2Fm%2F01b_21	toux%2Btousse%2Btousser	cough%2Bcoughing	https://trends.google.fr/trends/explore?q=%2Fm%2F01b_21&date=2019-09-15 2020-09-06&hl=fr	https://trends.google.fr/trends/explore?q=%2Fm%2F01b_21&date=2019-09-15 2020-09-06&hl=en	https://trends.google.fr/trends/explore?q=toux%2Btousse%2Btousser&date=2019-09-15 2020-09-06&geo=FR&hl=fr	https://trends.google.fr/trends/explore?q=cough%2Bcoughing&date=2019-09-15 2020-09-06&geo=US&hl=en	https://trends.google.fr/trends/explore?q=%2Fm%2F01b_21&date=2020-01-01 2020-05-01&geo=FR&hl=fr	https://trends.google.fr/trends/explore?q=%2Fm%2F01b_21&date=2020-01-01 2020-05-01&geo=US&hl=en	https://trends.google.fr/trends/explore?q=toux%2Btousse%2Btousser&date=2020-01-01 2020-05-01&geo=FR&hl=fr	https://trends.google.fr/trends/explore?q=cough%2Bcoughing&date=2020-01-01 2020-05-01&geo=US&hl=en
Courbature	Courbature	Delayed onset muscle soreness	%2Fm%2F03dcyh	courbature	soreness	https://trends.google.fr/trends/explore?q=%2Fm%2F03dcyh&date=2019-09-15 2020-09-06&hl=fr	https://trends.google.fr/trends/explore?q=%2Fm%2F03dcyh&date=2019-09-15 2020-09-06&hl=en	https://trends.google.fr/trends/explore?q=courbature&date=2019-09-15 2020-09-06&geo=FR&hl=fr	https://trends.google.fr/trends/explore?q=soreness&date=2019-09-15 2020-09-06&geo=US&hl=en	https://trends.google.fr/trends/explore?q=%2Fm%2F03dcyh&date=2020-01-01 2020-05-01&geo=FR&hl=fr	https://trends.google.fr/trends/explore?q=%2Fm%2F03dcyh&date=2020-01-01 2020-05-01&geo=US&hl=en	https://trends.google.fr/trends/explore?q=courbature&date=2020-01-01 2020-05-01&geo=FR&hl=fr	https://trends.google.fr/trends/explore?q=soreness&date=2020-01-01 2020-05-01&geo=US&hl=en
Thermomètre	Thermomètre	Thermometer	%2Fm%2F07mf1	thermomètre	thermometer	https://trends.google.fr/trends/explore?q=%2Fm%2F07mf1&date=2019-09-15 2020-09-06&hl=fr	https://trends.google.fr/trends/explore?q=%2Fm%2F07mf1&date=2019-09-15 2020-09-06&hl=en	https://trends.google.fr/trends/explore?q=thermomètre&date=2019-09-15 2020-09-06&geo=FR&hl=fr	https://trends.google.fr/trends/explore?q=thermometer&date=2019-09-15 2020-09-06&geo=US&hl=en	https://trends.google.fr/trends/explore?q=%2Fm%2F07mf1&date=2020-01-01 2020-05-01&geo=FR&hl=fr	https://trends.google.fr/trends/explore?q=%2Fm%2F07mf1&date=2020-01-01 2020-05-01&geo=US&hl=en	https://trends.google.fr/trends/explore?q=thermomètre&date=2020-01-01 2020-05-01&geo=FR&hl=fr	https://trends.google.fr/trends/explore?q=thermometer&date=2020-01-01 2020-05-01&geo=US&hl=en
Mal de gorge	Mal de gorge	Sore throat	%2Fm%2F0b76bty	mal de gorge%2Bmaux de gorge	sore throat%2Bthroat pain	https://trends.google.fr/trends/explore?q=%2Fm%2F0b76bty&date=2019-09-15 2020-09-06&hl=fr	https://trends.google.fr/trends/explore?q=%2Fm%2F0b76bty&date=2019-09-15 2020-09-06&hl=en	https://trends.google.fr/trends/explore?q=mal de gorge%2Bmaux de gorge&date=2019-09-15 2020-09-06&geo=FR&hl=fr	https://trends.google.fr/trends/explore?q=sore throat%2Bthroat pain&date=2019-09-15 2020-09-06&geo=US&hl=en	https://trends.google.fr/trends/explore?q=%2Fm%2F0b76bty&date=2020-01-01 2020-05-01&geo=FR&hl=fr	https://trends.google.fr/trends/explore?q=%2Fm%2F0b76bty&date=2020-01-01 2020-05-01&geo=US&hl=en	https://trends.google.fr/trends/explore?q=mal de gorge%2Bmaux de gorge&date=2020-01-01 2020-05-01&geo=FR&hl=fr	https://trends.google.fr/trends/explore?q=sore throat%2Bthroat pain&date=2020-01-01 2020-05-01&geo=US&hl=en
Dyspnée	Dyspnée	Shortness of breath	%2Fm%2F01cdt5	dyspnée%2Bessouflement%2Bgene respiratoire%2Bgêne respiratoire%2Bmal respirer	shortness of breath%2Bdyspnea%2Bdifficulty breathing	https://trends.google.fr/trends/explore?q=%2Fm%2F01cdt5&date=2019-09-15 2020-09-06&hl=fr	https://trends.google.fr/trends/explore?q=%2Fm%2F01cdt5&date=2019-09-15 2020-09-06&hl=en	https://trends.google.fr/trends/explore?q=dyspnée%2Bessouflement%2Bgene respiratoire%2Bgêne respiratoire%2Bmal respirer&date=2019-09-15 2020-09-06&geo=FR&hl=fr	https://trends.google.fr/trends/explore?q=shortness of breath%2Bdyspnea%2Bdifficulty breathing&date=2019-09-15 2020-09-06&geo=US&hl=en	https://trends.google.fr/trends/explore?q=%2Fm%2F01cdt5&date=2020-01-01 2020-05-01&geo=FR&hl=fr	https://trends.google.fr/trends/explore?q=%2Fm%2F01cdt5&date=2020-01-01 2020-05-01&geo=US&hl=en	https://trends.google.fr/trends/explore?q=dyspnée%2Bessouflement%2Bgene respiratoire%2Bgêne respiratoire%2Bmal respirer&date=2020-01-01 2020-05-01&geo=FR&hl=fr	https://trends.google.fr/trends/explore?q=shortness of breath%2Bdyspnea%2Bdifficulty breathing&date=2020-01-01 2020-05-01&geo=US&hl=en
Migraine	Migraine	Migraine	%2Fm%2F05904	migraine	migraine	https://trends.google.fr/trends/explore?q=%2Fm%2F05904&date=2019-09-15 2020-09-06&hl=fr	https://trends.google.fr/trends/explore?q=%2Fm%2F05904&date=2019-09-15 2020-09-06&hl=en	https://trends.google.fr/trends/explore?q=migraine&date=2019-09-15 2020-09-06&geo=FR&hl=fr	https://trends.google.fr/trends/explore?q=migraine&date=2019-09-15 2020-09-06&geo=US&hl=en	https://trends.google.fr/trends/explore?q=%2Fm%2F05904&date=2020-01-01 2020-05-01&geo=FR&hl=fr	https://trends.google.fr/trends/explore?q=%2Fm%2F05904&date=2020-01-01 2020-05-01&geo=US&hl=en	https://trends.google.fr/trends/explore?q=migraine&date=2020-01-01 2020-05-01&geo=FR&hl=fr	https://trends.google.fr/trends/explore?q=migraine&date=2020-01-01 2020-05-01&geo=US&hl=en
Diarrhée	Diarrhée	Diarrhea	%2Fm%2F0f3kl	diarrhée%2Bchiasse	diarrhea%2Bdiarrea	https://trends.google.fr/trends/explore?q=%2Fm%2F0f3kl&date=2019-09-15 2020-09-06&hl=fr	https://trends.google.fr/trends/explore?q=%2Fm%2F0f3kl&date=2019-09-15 2020-09-06&hl=en	https://trends.google.fr/trends/explore?q=diarrhée%2Bchiasse&date=2019-09-15 2020-09-06&geo=FR&hl=fr	https://trends.google.fr/trends/explore?q=diarrhea%2Bdiarrea&date=2019-09-15 2020-09-06&geo=US&hl=en	https://trends.google.fr/trends/explore?q=%2Fm%2F0f3kl&date=2020-01-01 2020-05-01&geo=FR&hl=fr	https://trends.google.fr/trends/explore?q=%2Fm%2F0f3kl&date=2020-01-01 2020-05-01&geo=US&hl=en	https://trends.google.fr/trends/explore?q=diarrhée%2Bchiasse&date=2020-01-01 2020-05-01&geo=FR&hl=fr	https://trends.google.fr/trends/explore?q=diarrhea%2Bdiarrea&date=2020-01-01 2020-05-01&geo=US&hl=en
