domain	agueusie coronavirus	agueusie covid	anosmie coronavirus	anosmie covid	chiasse coronavirus	chiasse covid	courbature coronavirus	courbature covid	diarrhée covid	douleur thoracique covid	douleur thorax coronavirus	douleur thorax covid	dyspnée coronavirus	dyspnée covid	essouflement covid	fièvre coronavirus	fièvre covid	gene respiratoire coronavirus	gene respiratoire covid	gêne respiratoire coronavirus	mal de gorge coronavirus	mal de gorge covid	mal thoracique coronavirus	mal thoracique covid	mal à respirer coronavirus	mal à respirer covid	maux de gorge coronavirus	maux de gorge covid	nez qui coule coronavirus	nez qui coule covid	oppression thoracique covid	perte de gout coronavirus	perte de gout covid	perte de goût coronavirus	perte de goût covid	perte odorat coronavirus	rhinorrhée coronavirus	rhinorrhée covid	thermomètre coronavirus	thermomètre covid	tousse coronavirus	tousse covid	tousser coronavirus	tousser covid	toux coronavirus	toux covid	écoulement nasale coronavirus	écoulement nasale covid	éruption cutanée coronavirus	éruption cutanée covid	avg position	nb missing	% presence	weighted avg position	honcode	type
www.bag.admin.ch	30	17	17	30	1	1	30	30	1	5	6	5	30	30	30	1	1	1	2	1	1	1	4	6	1	2	1	1	1	1	30	10	10	11	11	15	3	4	30	30	4	3	3	3	1	2	6	8	10	30	10.2	11	78%	14.6	expired	gov/health
www.lenouvelliste.ch	4	9	6	14	30	30	5	6	30	4	4	4	30	30	30	7	14	30	30	30	24	14	5	4	30	30	30	30	9	12	3	6	7	7	9	6	9	13	1	3	30	30	18	17	14	13	30	30	30	30	16.8	19	62%	21.8	none	media
www.safetravel.ch	30	30	30	30	30	30	30	30	30	1	1	1	30	30	1	6	10	2	1	2	6	4	1	1	2	1	6	6	30	30	1	30	30	30	30	30	30	30	30	30	9	10	8	10	5	11	30	30	3	11	16.8	24	52%	23.1	expired	health
www.heidi.news	3	4	8	8	8	9	6	9	12	9	20	30	14	19	5	5	4	12	13	12	30	17	19	30	9	10	30	20	30	30	30	7	6	6	6	8	30	30	30	30	30	30	30	30	30	30	30	30	30	30	18.4	21	58%	23.2	none	media
www.24heures.ch	8	7	11	16	12	17	30	5	30	13	7	12	30	30	30	30	30	30	30	30	30	30	9	10	11	15	30	30	15	30	30	8	8	8	7	10	4	5	4	15	20	30	30	30	30	30	2	4	15	18	18.5	21	58%	23.3	none	media
www.revmed.ch	1	1	1	1	30	10	19	16	9	30	30	30	1	2	12	30	15	14	9	11	30	30	30	30	30	12	20	30	30	30	11	1	1	2	1	1	11	3	30	30	30	30	30	30	30	30	30	30	30	30	18.7	25	50%	24.4	expired	health
www.rts.ch	5	6	3	5	30	30	30	30	6	8	30	9	8	12	30	19	30	30	30	30	30	30	30	8	30	30	30	30	18	30	30	5	5	4	5	3	30	30	8	30	16	30	16	12	13	9	30	30	13	13	19.6	25	50%	24.8	none	media
www.letemps.ch	2	3	2	3	4	7	30	30	11	30	30	30	30	30	30	30	30	30	30	30	30	19	30	30	16	30	30	30	17	30	30	3	2	3	2	2	12	9	12	30	30	13	15	11	18	14	30	30	30	30	20.2	27	46%	25.5	none	media
sante.journaldesfemmes.fr	18	30	19	30	30	12	7	8	5	30	30	30	3	5	30	30	30	16	18	13	23	7	30	30	15	11	19	10	30	11	30	18	18	20	16	30	30	19	30	30	30	30	30	30	30	30	4	6	30	30	21.4	25	50%	25.7	none	media/health
www.passeportsante.net	30	30	30	30	30	30	1	1	18	3	2	2	6	30	2	17	30	8	8	6	30	30	2	2	17	7	30	30	30	30	2	30	30	30	30	30	30	30	30	30	30	18	30	19	7	4	30	30	30	30	20.4	29	42%	26.0	expired	health
www.hug.ch	16	30	16	30	10	30	30	30	30	17	17	17	20	30	30	10	13	30	30	30	21	15	17	30	30	30	17	18	14	30	30	30	30	30	30	30	5	8	30	30	15	14	12	14	15	30	10	13	30	30	22.5	26	48%	26.4	none	health/edu
www.bbc.com	30	30	10	13	30	30	30	30	30	30	14	30	30	30	20	30	30	30	30	30	30	30	10	30	8	8	30	30	30	30	30	9	9	9	8	5	30	30	30	30	10	9	9	9	8	18	30	30	4	5	21.9	30	40%	26.8	none	media
www.tdg.ch	30	30	30	30	5	3	2	2	8	30	30	30	30	30	17	30	16	30	30	30	14	8	30	30	30	30	9	8	6	6	30	30	30	30	30	30	2	2	10	12	30	30	30	30	30	30	30	30	7	8	21.5	31	38%	26.8	none	media
www.doctissimo.fr	30	30	30	30	30	30	4	4	7	20	19	20	30	30	30	20	30	30	17	30	8	6	11	15	5	5	8	7	8	8	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	18	9	22.4	30	40%	27.0	none	health
www.hopitalduvalais.ch	30	30	30	30	30	30	30	30	30	30	30	30	30	30	4	2	2	30	30	30	3	2	30	30	30	30	3	2	4	4	30	30	30	30	30	30	30	30	30	30	1	1	1	1	2	1	30	2	30	30	21.1	34	32%	27.2	none	health
www.msf.ch	30	30	30	30	30	30	30	30	30	30	30	30	16	14	30	30	17	30	30	30	20	30	30	30	18	17	30	30	3	2	30	30	30	30	30	30	1	1	30	30	5	6	11	6	9	7	1	1	30	30	22.3	32	36%	27.2	none	health
www.lematin.ch	11	10	5	4	30	30	20	30	30	30	18	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	8	4	3	5	3	4	14	30	6	14	12	16	20	30	30	30	30	30	30	30	22.7	32	36%	27.4	none	media
www.ge.ch	30	30	14	12	30	14	30	18	15	30	30	30	30	30	30	14	11	18	16	18	30	30	30	30	30	30	30	19	30	30	18	30	30	30	30	30	30	30	30	30	7	7	6	7	11	10	30	16	30	30	23.6	31	38%	27.6	none	gov
www.vd.ch	7	5	9	7	30	30	15	30	30	30	30	30	30	30	30	8	7	30	30	30	19	16	30	30	10	30	14	17	30	30	30	30	30	30	30	14	30	30	30	30	8	30	10	30	10	12	30	30	30	30	23.6	33	34%	27.8	none	gov
www.arcinfo.ch	30	30	30	30	7	15	12	30	30	30	30	30	30	30	30	16	30	6	5	4	16	30	30	30	7	18	11	30	30	30	30	30	30	30	30	30	30	30	13	30	14	11	7	8	30	30	30	30	30	30	23.8	34	32%	28.0	none	media
www.creapharma.ch	30	30	30	30	11	4	13	20	2	30	13	18	30	30	30	30	30	30	30	30	5	3	15	19	30	30	5	5	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	20	15	30	30	30	30	24.4	35	30%	28.3		
www.futura-sciences.com	9	16	4	9	20	30	18	30	30	6	8	7	19	30	30	30	30	30	30	30	30	30	13	7	30	30	30	30	30	30	4	30	30	30	30	13	30	30	30	30	30	30	30	30	30	30	30	30	30	17	24.4	35	30%	28.3		
www.bfmtv.com	30	30	30	30	30	30	9	7	30	2	3	3	30	30	30	30	30	30	30	30	30	30	3	3	30	30	30	30	30	30	30	30	30	30	30	30	30	7	30	30	30	30	30	30	30	30	5	7	30	30	25.0	40	20%	29.0		
www.huffingtonpost.fr	30	30	30	30	19	30	30	30	30	14	10	13	30	30	30	30	30	30	30	19	30	30	12	9	30	30	30	30	11	18	30	30	20	30	19	30	20	20	30	30	30	30	30	30	30	30	30	30	30	30	26.3	37	26%	29.0		
www.hopitalvs.ch	30	30	30	30	30	30	30	30	30	7	5	8	30	30	30	30	30	5	10	7	30	30	7	12	3	4	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	25.4	40	20%	29.1		
www.santemagazine.fr	30	30	30	30	30	30	30	30	30	30	30	30	30	30	3	30	30	9	3	9	30	30	30	30	4	3	30	30	30	30	30	11	11	10	10	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	25.5	40	20%	29.1		
www.rtbf.be	13	20	13	18	30	30	30	30	30	11	9	10	30	30	30	30	30	30	30	30	30	30	6	5	30	30	30	30	30	30	5	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	26.2	40	20%	29.2		
coronavirus.unisante.ch	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	3	5	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	3	4	4	5	3	3	30	30	30	30	25.8	42	16%	29.3		
www.chuv.ch	30	30	30	30	30	30	30	30	30	10	30	30	11	7	10	30	18	4	4	5	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	17	30	30	30	30	30	30	30	30	30	30	30	30	30	26.3	41	18%	29.3		
www.femmeactuelle.fr	14	11	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	20	30	30	30	30	30	30	30	30	30	30	30	30	30	12	13	13	13	19	30	30	30	30	30	30	30	30	30	30	30	30	12	12	26.8	40	20%	29.4		
www.promotionsantevalais.ch	30	30	30	30	30	30	3	3	30	30	30	30	30	30	30	30	30	30	30	30	7	5	18	30	30	30	7	4	30	5	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	26.2	42	16%	29.4		
