domain	ageusia coronavirus	ageusia covid	anosmia covid	chest pain coronavirus	chest pain covid	cough coronavirus	cough covid	coughing coronavirus	coughing covid	diarrea coronavirus	diarrea covid	diarrhea coronavirus	diarrhea covid	difficulty breathing coronavirus	difficulty breathing covid	dsypnea coronavirus	dsypnea covid	fever coronavirus	fever covid	loss smell coronavirus	loss smell covid	loss taste coronavirus	loss taste covid	rhinorrhea coronavirus	running nose coronavirus	running nose covid	runny nose coronavirus	runny nose covid	shortness of breath coronavirus	sore throat coronavirus	sore throat covid	soreness coronavirus	soreness covid	thermometer coronavirus	thermometer covid	throat pain coronavirus	throat pain covid	total	missing	top 20 % present	weighted avg rank	honcode	type
www.cdc.gov	1	1	1	1	1	18	1	5	1	5	1	1	1	1	1	1	1	1	1	1	30	30	6	1	1	1	1	5	1	1	1	5	5	5	9	1	1	4.0	2	95%	5.4	non	health/gov
www.who.int	30	30	30	7	6	3	5	3	2	3	4	3	3	5	5	8	9	4	3	30	30	30	30	2	2	2	2	2	4	3	2	4	3	2	30	3	3	9.4	8	78%	13.8	expired	health/gov
www.webmd.com	30	30	30	2	2	2	2	1	6	2	2	2	2	30	6	30	30	9	8	7	3	1	3	6	7	6	8	8	18	8	7	7	9	30	30	6	8	10.8	8	78%	14.9	valid	health
www.healthline.com	30	30	30	30	30	16	18	15	22	30	30	6	7	2	2	2	4	11	9	30	30	30	20	30	6	8	7	7	6	9	10	6	7	12	12	7	7	15.4	11	70%	19.7	valid	health
www1.nyc.gov	14	30	30	5	8	30	30	30	30	15	14	30	30	24	30	9	30	3	30	30	30	30	30	4	3	4	4	4	30	2	3	2	2	30	30	2	2	17.9	18	51%	23.8	non	gov
www.health.harvard.edu	13	30	30	10	4	9	10	17	10	30	5	30	30	10	4	30	30	30	11	30	30	30	30	30	30	19	30	13	2	4	4	14	10	30	30	4	4	18.6	17	54%	23.8	non	health/edu
health.mountsinai.org	30	10	30	30	30	1	6	2	3	30	30	30	30	30	30	10	12	5	5	5	7	30	7	30	30	30	30	30	30	5	5	30	30	4	30	30	30	20.2	22	41%	26.0	non	health
www.hopkinsmedicine.org	30	30	30	30	20	13	15	9	11	30	30	30	30	7	8	5	20	8	12	30	30	30	30	30	30	30	30	30	8	10	13	30	30	30	30	13	14	22.1	21	43%	26.6	non	health
www.health.com	30	30	30	30	30	10	11	8	30	30	30	30	30	11	11	16	30	10	30	30	30	30	30	30	30	30	30	30	23	16	18	1	1	30	30	9	11	22.9	23	38%	27.3	non	health
www.ncbi.nlm.nih.gov	2	2	5	30	30	30	30	30	30	30	30	16	22	30	30	12	6	30	22	3	5	30	8	14	30	30	30	30	30	30	30	30	16	30	30	30	30	23.1	24	35%	27.6	expired	health/gov
www.nytimes.com	30	30	30	30	30	30	21	24	17	11	7	30	21	30	30	30	30	22	13	23	30	30	30	30	30	30	30	30	30	30	24	11	13	8	30	25	19	24.8	22	41%	27.9	non	media
