query_num_results_total	query_num_results_page	query_page_number	query	serp_rank	serp_type	serp_url	serp_rating	serp_title	serp_domain	serp_visible_link	serp_snippet	serp_sitelinks	screenshot
0	22	1	diarrea	1	results	https://medlineplus.gov/diarrhea.html		Diarrhea | MedlinePlusmedlineplus.gov › Health Topics	medlineplus.gov	medlineplus.gov › Health Topics	Aug 17, 2020 - Diarrhea is loose, watery stools (bowel movements). You have diarrhea if you have loose stools three or more times in one day. Acute diarrhea is ...		/tmp/screenshots/2020-09-17/google_diarrea-p1.png
0	22	1	diarrea	2	results	https://www.mayoclinic.org/diseases-conditions/diarrhea/symptoms-causes/syc-20352241		Diarrhea - Symptoms and causes - Mayo Clinicwww.mayoclinic.org › diarrhea › symptoms-causes › syc-20352241	www.mayoclinic.org	www.mayoclinic.org › diarrhea › symptoms-causes › syc-20352241	Jun 16, 2020 - Loose, watery stools; Abdominal cramps; Abdominal pain; Fever; Blood in the stool; Mucus in the stool; Bloating; Nausea; Urgent need to have a ...		/tmp/screenshots/2020-09-17/google_diarrea-p1.png
0	22	1	diarrea	3	results	https://www.mayoclinic.org/es-es/diseases-conditions/cancer/in-depth/diarrhea/art-20044799		Diarrea: causas relacionadas con el cáncer y cómo afrontarla ...www.mayoclinic.org › diarrhea › art-20044799	www.mayoclinic.org	www.mayoclinic.org › diarrhea › art-20044799	Tratamiento oncológico. Algunos tratamientos oncológicos pueden causar diarrea, que incluyen la quimioterapia, la radiación, la cirugía (si es necesario extraer ...		/tmp/screenshots/2020-09-17/google_diarrea-p1.png
0	22	1	diarrea	4	results	https://www.webmd.com/digestive-disorders/digestive-diseases-diarrhea		Diarrhea: 15 Common Causes and How To Treat It - WebMDwww.webmd.com › digestive-disorders › digestive-diseases-diarrhea	www.webmd.com	www.webmd.com › digestive-disorders › digestive-diseases-diarrhea			/tmp/screenshots/2020-09-17/google_diarrea-p1.png
0	22	1	diarrea	6	results	https://www.mayoclinic.org/symptoms/diarrhea/basics/when-to-see-doctor/sym-20050926		Diarrhea When to see a doctor - Mayo Clinicwww.mayoclinic.org › basics › when-to-see-doctor › sym-20050926	www.mayoclinic.org	www.mayoclinic.org › basics › when-to-see-doctor › sym-20050926			/tmp/screenshots/2020-09-17/google_diarrea-p1.png
0	22	1	diarrea	7	results	https://www.uofmhealth.org/health-library/sig18272		Mild, Moderate, or Severe Diarrhea | Michigan Medicinewww.uofmhealth.org › health-library › sig18272	www.uofmhealth.org	www.uofmhealth.org › health-library › sig18272			/tmp/screenshots/2020-09-17/google_diarrea-p1.png
0	22	1	diarrea	8	results	https://www.healthline.com/health/how-long-does-diarrhea-last		How Long Does Diarrhea Last? Remedies, Treatment, and Morewww.healthline.com › health › how-long-does-diarrhea-last	www.healthline.com	www.healthline.com › health › how-long-does-diarrhea-last			/tmp/screenshots/2020-09-17/google_diarrea-p1.png
0	22	1	diarrea	9	results	https://www.niddk.nih.gov/health-information/informacion-de-la-salud/enfermedades-digestivas/diarrea/sintomas-causas		Síntomas y causas de la diarrhea | NIDDKwww.niddk.nih.gov › ... › Diarrea	www.niddk.nih.gov	www.niddk.nih.gov › ... › Diarrea	Las personas con diarrea causada por ciertas infecciones también pueden tener uno o más de los siguientes síntomas: sangre en las heces; fiebre y escalofrío ...		/tmp/screenshots/2020-09-17/google_diarrea-p1.png
0	22	1	diarrea	10	results	https://www.iffgd.org/en-espanol/diarrea.html		Diarrea - IFFGDwww.iffgd.org › en-espanol › diarrea	www.iffgd.org	www.iffgd.org › en-espanol › diarrea	Oct 2, 2019 - La diarrea es un cambio en las evacuaciones intestinales que causa heces más blandas que lo normal. Las heces son lo que queda una vez ...		/tmp/screenshots/2020-09-17/google_diarrea-p1.png
0	22	1	diarrea	11	results	https://gi.org/patients/recursos-en-espanol/enfermedades-diarreicas/		Enfermedades Diarréicas - American College of ...gi.org › Patients › Recursos en Español	gi.org	gi.org › Patients › Recursos en Español	La diarrea sanguinolenta crónica muy posiblemente se debe a alguna enfermedad inflamatoria del intestino, entre las que están la colitis ulcerosa y la ...		/tmp/screenshots/2020-09-17/google_diarrea-p1.png
