query_num_results_total	query_num_results_page	query_page_number	query	serp_rank	serp_type	serp_url	serp_rating	serp_title	serp_domain	serp_visible_link	serp_snippet	serp_sitelinks	screenshot
0	20	1	agueusie coronavirus	2	results	https://www.revmed.ch/RMS/2020/RMS-N-691-2/Anosmie-et-COVID-19		Anosmie et COVID-19 - Revue Médicale Suissewww.revmed.ch › RMS › RMS-N-691-2 › Anosmie-et-...	www.revmed.ch	www.revmed.ch › RMS › RMS-N-691-2 › Anosmie-et-...	L'anosmie associée ou non à la dysgueusie semble être un symptôme fréquent en cas d'infection au SARS-CoV-2 responsable du COVID-19. Elle peut être le ...		/tmp/screenshots/2020-09-17/google_agueusie coronavirus-p1.png
0	20	1	agueusie coronavirus	3	results	https://www.letemps.ch/sciences/covid19-perte-dodorat-probablement-temporaire		Covid-19: la perte d'odorat probablement temporaire - Le Tempswww.letemps.ch › sciences › covid19-perte-dodorat-prob...	www.letemps.ch	www.letemps.ch › sciences › covid19-perte-dodorat-prob...	13 juil. 2020 - Plusieurs études récentes montrent que, dans la majorité des cas, l'anosmie engendrée par le coronavirus est liée à.		/tmp/screenshots/2020-09-17/google_agueusie coronavirus-p1.png
0	20	1	agueusie coronavirus	4	results	https://www.heidi.news/sante/covid-19-ce-que-l-on-sait-et-ce-que-l-on-ignore-encore-de-la-perte-du-gout-et-de-l-odorat		Coronavirus: Ce que l'on sait (et ce que l'on ignore encore) de ...www.heidi.news › sante › covid-19-ce-que-l-on-sait-et-...	www.heidi.news	www.heidi.news › sante › covid-19-ce-que-l-on-sait-et-...	18 avr. 2020 - La perte du goût (agueusie) ou de l'odorat (anosmie) est désormais considérée comme un signe bénin mais possiblement évocateur, ...		/tmp/screenshots/2020-09-17/google_agueusie coronavirus-p1.png
0	20	1	agueusie coronavirus	5	results	https://www.lenouvelliste.ch/dossiers/coronavirus/articles/coronavirus-perte-d-odorat-fatigue-ou-fievre-quels-sont-les-symptomes-les-plus-frequents-924806		Coronavirus: perte d'odorat, fatigue ou fièvre...... - Le Nouvellistewww.lenouvelliste.ch › dossiers › coronavirus › articles	www.lenouvelliste.ch	www.lenouvelliste.ch › dossiers › coronavirus › articles	31 mars 2020 - Si vous avez une anosmie sans nez bouché, vous êtes Covid positif. Alain Corré, ORL à l'Hôpital-Fondation Rothschild à Paris. Et à ce stade, c' ...		/tmp/screenshots/2020-09-17/google_agueusie coronavirus-p1.png
0	20	1	agueusie coronavirus	6	results	https://www.rts.ch/info/monde/11183721-absence-dodorat-nouveau-symptome-du-coronavirus-selon-des-orl-francais.html		Absence d'odorat, nouveau symptôme du coronavirus selon ...www.rts.ch › info › monde › 11183721-absence-dodor...	www.rts.ch	www.rts.ch › info › monde › 11183721-absence-dodor...	21 mars 2020 - Cette anosmie décrite par plusieurs personnes atteintes du Covid-19 peut survenir de façon isolée ou avec d'autres symptômes liés au virus.		/tmp/screenshots/2020-09-17/google_agueusie coronavirus-p1.png
0	20	1	agueusie coronavirus	7	results	https://www.rts.ch/info/sciences-tech/medecine/11210000-le-lien-entre-la-perte-dodorat-et-le-nouveau-coronavirus-fait-debat.html		Le lien entre la perte d'odorat et le nouveau coronavirus fait ...www.rts.ch › info › sciences-tech › medecine › 112100...	www.rts.ch	www.rts.ch › info › sciences-tech › medecine › 112100...	31 mars 2020 - Ce peut être le signe d'une infection au coronavirus, mais rien n'est certain. Ces symptômes d'anosmie (nom scientifique de la perte d'odorat) ...		/tmp/screenshots/2020-09-17/google_agueusie coronavirus-p1.png
0	20	1	agueusie coronavirus	8	results	https://www.vd.ch/toutes-les-actualites/hotline-et-informations-sur-le-coronavirus/coronavirus-covid-19-reponses-du-medecin-cantonal-aux-questions-frequentes/		Coronavirus CoVID-19 : réponses du médecin cantonal aux ...www.vd.ch › hotline-et-informations-sur-le-coronavirus	www.vd.ch	www.vd.ch › hotline-et-informations-sur-le-coronavirus	Toutes les informations sur le coronavirus et ses conséquences pour la population, ... Le port du masque est recommandé pendant toute la durée de l'anosmie.		/tmp/screenshots/2020-09-17/google_agueusie coronavirus-p1.png
0	20	1	agueusie coronavirus	9	results	https://www.24heures.ch/quand-le-covid-19-sattaque-au-gout-et-a-lodorat-436911737777		Coronavirus – Quand le Covid-19 s'attaque au goût et à l ...www.24heures.ch › Suisse › Coronavirus	www.24heures.ch	www.24heures.ch › Suisse › Coronavirus	3 juin 2020 - Dans le jargon médical, ces altérations portent le nom d'anosmie et d'agueusie, respectivement perte de l'odorat et du goût. Elles se retrouvent ...		/tmp/screenshots/2020-09-17/google_agueusie coronavirus-p1.png
0	20	1	agueusie coronavirus	10	results	https://www.futura-sciences.com/sante/actualites/coronavirus-origine-anosmie-chez-malades-coronavirus-identifiee-81686/		L'origine de l'anosmie chez les malades du coronavirus ...www.futura-sciences.com › Santé › Actualités	www.futura-sciences.com	www.futura-sciences.com › Santé › Actualités	5 juil. 2020 - L'anosmie est courante dans les infections respiratoires, comme la grippe ou le rhume, qui peut être provoqué par des coronavirus non mortels.		/tmp/screenshots/2020-09-17/google_agueusie coronavirus-p1.png
0	20	1	agueusie coronavirus	11	results	https://www.ra-sante.com/actualite-covid-19-coronavirus-perte-gout-odorat-anosmie-etude-lyon.html		Perte du goût et de l'odorat (Covid-19) : étude lancée à Lyon ...www.ra-sante.com › Maladies › Actualité	www.ra-sante.com	www.ra-sante.com › Maladies › Actualité	6 mai 2020 - La perte du goût (agueusie) et de l'odorat (anosmie) est fréquente pour le Covid-19. Une étude est lancée à Lyon. Explications du Dr Bensafi ...		/tmp/screenshots/2020-09-17/google_agueusie coronavirus-p1.png
