query_num_results_total	query_num_results_page	query_page_number	query	serp_rank	serp_type	serp_url	serp_rating	serp_title	serp_domain	serp_visible_link	serp_snippet	serp_sitelinks	screenshot
0	23	1	chest pain coronavirus	1	results	https://www.cdc.gov/coronavirus/2019-ncov/symptoms-testing/index.html#:~:text=Call%20your%20doctor:%20If,provider%20for%20medical%20advice.		Symptoms of Coronaviruswww.cdc.gov › coronavirus › 2019-ncov › symptoms-testing	www.cdc.gov	www.cdc.gov › coronavirus › 2019-ncov › symptoms-testing			/tmp/screenshots/2020-09-17/google_chest pain coronavirus-p1.png
0	23	1	chest pain coronavirus	3	results	https://www.webmd.com/lung/covid-19-symptoms		Symptoms of Coronavirus: Early Signs, Serious Symptoms ...www.webmd.com › ... › Coronavirus › Reference	www.webmd.com	www.webmd.com › ... › Coronavirus › Reference	Emergency Symptoms. Call a doctor or hospital right away if you have one or more of these COVID-19 symptoms: Trouble breathing. Constant pain or pressure in your chest.		/tmp/screenshots/2020-09-17/google_chest pain coronavirus-p1.png
0	23	1	chest pain coronavirus	4	results	https://www.webmd.com/lung/news/20200508/doctors-update-warning-signs-of-severe-covid		Doctors update warning signs of severe COVID - WebMDwww.webmd.com › ... › Coronavirus › News	www.webmd.com	www.webmd.com › ... › Coronavirus › News	May 8, 2020 - Which Symptoms Point to Severe COVID-19? ... and new symptoms -- chiefly difficulty breathing or chest discomfort up to a week after onset of ...		/tmp/screenshots/2020-09-17/google_chest pain coronavirus-p1.png
0	23	1	chest pain coronavirus	5	results	https://www.practicalpainmanagement.com/patient/resources/pain-self-management/chest-pain-it-anxiety-heart-attack-covid-19		Chest Pain: Is It Anxiety, a Heart Attack, or COVID-19?www.practicalpainmanagement.com › resources › pain-self-management	www.practicalpainmanagement.com	www.practicalpainmanagement.com › resources › pain-self-management	Jun 17, 2020 - The CDC lists common COVID-19 symptoms as: fever, cough, shortness of breath or difficulty breathing, chills, repeated shaking with chills, ...		/tmp/screenshots/2020-09-17/google_chest pain coronavirus-p1.png
0	23	1	chest pain coronavirus	6	results	https://www1.nyc.gov/site/doh/covid/covid-19-symptoms-chronic-health-risks.page#:~:text=People%20with%20the%20following%20symptoms,get%20them%20for%20you.		COVID-19: Symptoms and What to Do When Sickwww1.nyc.gov › site › doh › covid › covid-19-symptoms-chronic-health-risks	www1.nyc.gov	www1.nyc.gov › site › doh › covid › covid-19-symptoms-chronic-health-risks			/tmp/screenshots/2020-09-17/google_chest pain coronavirus-p1.png
0	23	1	chest pain coronavirus	8	results	https://www.cdc.gov/coronavirus/2019-ncov/symptoms-testing/symptoms.html#:~:text=%2D%20Trouble%20breathing.%20%2D,Bluish%20lips%20or%20face.		Symptoms of Coronaviruswww.cdc.gov › coronavirus › 2019-ncov › symptoms-testing › symptoms	www.cdc.gov	www.cdc.gov › coronavirus › 2019-ncov › symptoms-testing › symptoms			/tmp/screenshots/2020-09-17/google_chest pain coronavirus-p1.png
0	23	1	chest pain coronavirus	9	results	https://www.who.int/maldives/news/detail/31-01-2020-updates-on-novel-corona-virus-(COVID-19)#:~:text=The%20virus%20can%20cause%20a,and%20deaths%20can%20occur.		Updates on Novel Corona Virus (COVID-19)www.who.int › maldives › news › detail › 31-01-2020-updates-on-novel-co...	www.who.int	www.who.int › maldives › news › detail › 31-01-2020-updates-on-novel-co...			/tmp/screenshots/2020-09-17/google_chest pain coronavirus-p1.png
0	23	1	chest pain coronavirus	10	results	https://www.who.int/docs/default-source/nepal-documents/novel-coronavirus/un-rumour-tracking-english-issue-2.pdf?sfvrsn=bd68b830_2#:~:text=There%20is%20no%20evidence%20that,and%20to%20prevent%20dehydration.		ISSUE#2www.who.int › novel-coronavirus › un-rumour-tracking-english-issue-2	www.who.int	www.who.int › novel-coronavirus › un-rumour-tracking-english-issue-2			/tmp/screenshots/2020-09-17/google_chest pain coronavirus-p1.png
0	23	1	chest pain coronavirus	11	results	http://www.cdc.gov/coronavirus/2019-ncov/downloads/COVID19-symptoms.pdf		Symptoms of Coronavirus (COVID-19) - CDCwww.cdc.gov › coronavirus › 2019-ncov › downloads › COVID19-sympt...	www.cdc.gov	www.cdc.gov › coronavirus › 2019-ncov › downloads › COVID19-sympt...	Jul 21, 2020 - emergency warning signs of COVID-19. • Trouble breathing. • Persistent pain or pressure in the chest. • New confusion. • Inability to wake or.		/tmp/screenshots/2020-09-17/google_chest pain coronavirus-p1.png
0	23	1	chest pain coronavirus	12	results	https://www.health.harvard.edu/diseases-and-conditions/covid-19-basics		COVID-19 basics - Harvard Healthwww.health.harvard.edu › diseases-and-conditions › covid-19-basics	www.health.harvard.edu	www.health.harvard.edu › diseases-and-conditions › covid-19-basics	Aug 21, 2020 - And reviewing the common symptoms of COVID-19 can help you know ... pulmonary embolism and can cause shortness of breath, chest pain, ...		/tmp/screenshots/2020-09-17/google_chest pain coronavirus-p1.png
